"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication d'instruments et de fournitures à usage médical et dentaire (NAF rév. 2, niveau groupe, poste 32.5)";"Codes"
"idBank";"010768192";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"1990-01";"43.43";"A"
"1990-02";"43.98";"A"
"1990-03";"43.94";"A"
"1990-04";"44.24";"A"
"1990-05";"42.8";"A"
"1990-06";"43.75";"A"
"1990-07";"43.74";"A"
"1990-08";"43.79";"A"
"1990-09";"45.54";"A"
"1990-10";"45.95";"A"
"1990-11";"44.81";"A"
"1990-12";"46.59";"A"
"1991-01";"46.37";"A"
"1991-02";"46.65";"A"
"1991-03";"47.6";"A"
"1991-04";"47.6";"A"
"1991-05";"47.9";"A"
"1991-06";"48.91";"A"
"1991-07";"44.86";"A"
"1991-08";"46.97";"A"
"1991-09";"47.21";"A"
"1991-10";"46.86";"A"
"1991-11";"48.06";"A"
"1991-12";"47.37";"A"
"1992-01";"48.11";"A"
"1992-02";"48.96";"A"
"1992-03";"49.36";"A"
"1992-04";"48.23";"A"
"1992-05";"50.61";"A"
"1992-06";"49.36";"A"
"1992-07";"46.19";"A"
"1992-08";"48.45";"A"
"1992-09";"47.26";"A"
"1992-10";"48.08";"A"
"1992-11";"48.81";"A"
"1992-12";"48.03";"A"
"1993-01";"50.35";"A"
"1993-02";"48.28";"A"
"1993-03";"48.06";"A"
"1993-04";"48.68";"A"
"1993-05";"50.47";"A"
"1993-06";"49.63";"A"
"1993-07";"51.74";"A"
"1993-08";"51.8";"A"
"1993-09";"51.48";"A"
"1993-10";"49.77";"A"
"1993-11";"49.62";"A"
"1993-12";"47.5";"A"
"1994-01";"53.65";"A"
"1994-02";"52.24";"A"
"1994-03";"51.99";"A"
"1994-04";"51.58";"A"
"1994-05";"52.24";"A"
"1994-06";"52.37";"A"
"1994-07";"52.78";"A"
"1994-08";"51.18";"A"
"1994-09";"50.8";"A"
"1994-10";"53.45";"A"
"1994-11";"52.83";"A"
"1994-12";"51.44";"A"
"1995-01";"50.35";"A"
"1995-02";"49.87";"A"
"1995-03";"49.46";"A"
"1995-04";"50.28";"A"
"1995-05";"50.18";"A"
"1995-06";"51.17";"A"
"1995-07";"55.42";"A"
"1995-08";"51.99";"A"
"1995-09";"52.23";"A"
"1995-10";"52.34";"A"
"1995-11";"51.82";"A"
"1995-12";"53.67";"A"
"1996-01";"53.43";"A"
"1996-02";"51.75";"A"
"1996-03";"53.75";"A"
"1996-04";"55.48";"A"
"1996-05";"52.22";"A"
"1996-06";"52.24";"A"
"1996-07";"52.31";"A"
"1996-08";"53.52";"A"
"1996-09";"53.9";"A"
"1996-10";"53.64";"A"
"1996-11";"54.03";"A"
"1996-12";"54.01";"A"
"1997-01";"57.87";"A"
"1997-02";"55.07";"A"
"1997-03";"55.52";"A"
"1997-04";"55.45";"A"
"1997-05";"54.99";"A"
"1997-06";"58.41";"A"
"1997-07";"54.7";"A"
"1997-08";"53.85";"A"
"1997-09";"57.67";"A"
"1997-10";"57.68";"A"
"1997-11";"58.96";"A"
"1997-12";"57.54";"A"
"1998-01";"57.2";"A"
"1998-02";"58.13";"A"
"1998-03";"56.7";"A"
"1998-04";"58.22";"A"
"1998-05";"60.79";"A"
"1998-06";"56.73";"A"
"1998-07";"57.32";"A"
"1998-08";"57.54";"A"
"1998-09";"59.11";"A"
"1998-10";"57.28";"A"
"1998-11";"57.04";"A"
"1998-12";"57.89";"A"
"1999-01";"59.18";"A"
"1999-02";"58.22";"A"
"1999-03";"56.49";"A"
"1999-04";"60.56";"A"
"1999-05";"62.3";"A"
"1999-06";"61.98";"A"
"1999-07";"62.91";"A"
"1999-08";"62.72";"A"
"1999-09";"62.94";"A"
"1999-10";"63.56";"A"
"1999-11";"65.16";"A"
"1999-12";"65.29";"A"
"2000-01";"61.95";"A"
"2000-02";"66.55";"A"
"2000-03";"63.65";"A"
"2000-04";"66.55";"A"
"2000-05";"65.69";"A"
"2000-06";"67.63";"A"
"2000-07";"67.15";"A"
"2000-08";"69.03";"A"
"2000-09";"65.36";"A"
"2000-10";"66.84";"A"
"2000-11";"67.82";"A"
"2000-12";"65.52";"A"
"2001-01";"65.27";"A"
"2001-02";"67.57";"A"
"2001-03";"70.24";"A"
"2001-04";"68.86";"A"
"2001-05";"69.75";"A"
"2001-06";"71.7";"A"
"2001-07";"69.65";"A"
"2001-08";"75.17";"A"
"2001-09";"70.99";"A"
"2001-10";"72.67";"A"
"2001-11";"72.22";"A"
"2001-12";"77.16";"A"
"2002-01";"76.25";"A"
"2002-02";"73.21";"A"
"2002-03";"72.68";"A"
"2002-04";"73.81";"A"
"2002-05";"70.8";"A"
"2002-06";"72.49";"A"
"2002-07";"71.96";"A"
